epoch,train_loss,train_kp_loss,val_pck,val_oks,lr,duration_secs
1,0.424359,0.222667,0.867240,0.409824,1.00e-4,253.744
2,0.338346,0.168789,0.882133,0.461296,2.00e-4,249.088
3,0.299216,0.151308,0.862295,0.416124,3.00e-4,248.238
4,0.263508,0.147079,0.869278,0.446803,3.00e-4,247.524
5,0.246419,0.146727,0.880304,0.459788,2.99e-4,246.708
6,0.228064,0.146936,0.883881,0.463135,2.97e-4,247.665
7,0.216795,0.147475,0.880929,0.468418,2.95e-4,248.366
8,0.206828,0.147824,0.881480,0.469308,2.93e-4,247.650
9,0.195988,0.148002,0.882001,0.450247,2.89e-4,249.148
10,0.189539,0.148066,0.882917,0.486142,2.86e-4,249.059
11,0.183694,0.147960,0.888863,0.463692,2.81e-4,249.949
12,0.180473,0.147827,0.871776,0.446492,2.77e-4,248.137
13,0.170982,0.147754,0.888531,0.482430,2.71e-4,247.951
14,0.166983,0.147575,0.880803,0.489737,2.66e-4,246.981
15,0.162106,0.147459,0.889568,0.494983,2.59e-4,247.411
16,0.157550,0.147316,0.882679,0.482717,2.53e-4,247.006
17,0.154566,0.147220,0.884622,0.485905,2.46e-4,246.634
18,0.154081,0.147083,0.876539,0.470814,2.38e-4,246.639
19,0.151196,0.146934,0.886698,0.485924,2.30e-4,247.157
20,0.148134,0.146866,0.884809,0.471549,2.22e-4,247.955
21,0.144082,0.146663,0.883892,0.485715,2.14e-4,247.268
22,0.141421,0.146409,0.888105,0.498561,2.05e-4,245.148
23,0.138831,0.146239,0.890377,0.475103,1.96e-4,246.723
24,0.136454,0.146088,0.889813,0.481124,1.87e-4,246.637
25,0.134937,0.145848,0.881921,0.489684,1.78e-4,246.570
26,0.130789,0.145607,0.889046,0.494081,1.69e-4,246.604
27,0.130046,0.145332,0.889359,0.502839,1.59e-4,246.116
28,0.128539,0.145172,0.886956,0.487145,1.50e-4,246.092
29,0.125618,0.144895,0.886857,0.495641,1.41e-4,245.926
30,0.123507,0.144671,0.890574,0.491196,1.31e-4,245.906
31,0.123982,0.144549,0.886626,0.481690,1.22e-4,245.786
32,0.122902,0.144511,0.888988,0.496010,1.13e-4,246.308
33,0.121677,0.144346,0.881193,0.488142,1.04e-4,245.693
34,0.120230,0.144233,0.886885,0.494153,9.48e-5,245.599
35,0.119216,0.144011,0.885514,0.485133,8.61e-5,245.263
36,0.119621,0.143944,0.890779,0.492393,7.77e-5,245.307
37,0.116190,0.143863,0.888354,0.483606,6.96e-5,245.518
38,0.115176,0.143649,0.889054,0.491027,6.18e-5,245.484
39,0.115385,0.143667,0.890416,0.489429,5.44e-5,245.418
40,0.113223,0.143560,0.889922,0.490463,4.73e-5,245.281
41,0.113088,0.143484,0.886581,0.492043,4.07e-5,245.359
